Student_id,Code_module,Assessment_score,Student_sum_click,Region,Highest_education,Student_final_result
380953,AAA,67.0,1062.0,East Midlands Region,A Level or Equivalent,Pass
383254,AAA,76.3,543.0,Yorkshire Region,A Level or Equivalent,Pass
386924,AAA,68.9,164.0,Ireland,Lower Than A Level,Pass
386952,AAA,68.8,910.0,Yorkshire Region,A Level or Equivalent,Pass
388722,AAA,63.7,671.0,London Region,Lower Than A Level,Pass
388885,AAA,61.900000000000006,875.0,South West Region,A Level or Equivalent,Pass
392756,AAA,43.5,363.0,West Midlands Region,A Level or Equivalent,Fail
392931,AAA,69.1,3003.0,North Western Region,A Level or Equivalent,Pass
393207,AAA,74.8,876.0,North Western Region,A Level or Equivalent,Pass
396872,AAA,61.10000000000001,996.0,Yorkshire Region,HE Qualification,Pass
398552,AAA,45.0,1183.0,Yorkshire Region,Lower Than A Level,Fail
401869,AAA,67.0,955.0,South East Region,Lower Than A Level,Pass
402470,AAA,70.7,1445.0,South West Region,Lower Than A Level,Pass
404804,AAA,41.6,509.0,Wales,Lower Than A Level,Pass
405088,AAA,77.3,1388.0,North Region,A Level or Equivalent,Pass
414117,AAA,76.0,807.0,Yorkshire Region,A Level or Equivalent,Pass
420087,AAA,37.6,342.0,Scotland,A Level or Equivalent,Fail
429958,AAA,58.3,411.0,North Western Region,A Level or Equivalent,Pass
441018,AAA,61.0,646.0,South East Region,A Level or Equivalent,Pass
441888,AAA,70.0,739.0,London Region,A Level or Equivalent,Pass
444677,AAA,86.9,1241.0,London Region,HE Qualification,Distinction
489455,AAA,70.0,2832.0,South West Region,A Level or Equivalent,Pass
495284,AAA,65.0,901.0,South East Region,HE Qualification,Pass
498857,AAA,72.6,998.0,North Western Region,HE Qualification,Pass
508818,AAA,69.9,1129.0,London Region,A Level or Equivalent,Pass
512460,AAA,73.2,521.0,South East Region,HE Qualification,Pass
544103,AAA,81.0,2328.0,North Western Region,HE Qualification,Pass
550383,AAA,73.0,910.0,South East Region,HE Qualification,Pass
564450,AAA,58.00000000000001,224.0,West Midlands Region,HE Qualification,Fail
572652,AAA,73.7,780.0,West Midlands Region,HE Qualification,Pass
580389,AAA,70.6,1271.0,Ireland,HE Qualification,Pass
581129,AAA,16.0,194.0,East Anglian Region,A Level or Equivalent,Fail
588775,AAA,82.39999999999999,7067.0,South West Region,A Level or Equivalent,Pass
591774,AAA,73.4,605.0,South Region,Post Graduate Qualification,Pass
606143,AAA,18.6,406.0,Scotland,Post Graduate Qualification,Fail
704156,AAA,66.30000000000001,3064.0,South Region,HE Qualification,Pass
705379,AAA,80.70000000000002,5680.0,West Midlands Region,A Level or Equivalent,Distinction
749412,AAA,70.2,4007.0,South Region,Lower Than A Level,Pass
760729,AAA,81.5,7288.0,West Midlands Region,A Level or Equivalent,Distinction
905042,AAA,78.0,3004.0,East Anglian Region,A Level or Equivalent,Pass
949618,AAA,60.3,1357.0,South West Region,A Level or Equivalent,Pass
958987,AAA,77.2,1216.0,North Western Region,HE Qualification,Pass
968578,AAA,73.4,870.0,East Anglian Region,A Level or Equivalent,Pass
971027,AAA,67.2,3098.0,West Midlands Region,HE Qualification,Pass
978739,AAA,56.5,5988.0,South Region,HE Qualification,Pass
1035023,AAA,69.9,1896.0,London Region,Lower Than A Level,Pass
1105478,AAA,81.2,1695.0,Scotland,HE Qualification,Pass
1401935,AAA,9.5,240.0,West Midlands Region,A Level or Equivalent,Fail
1402638,AAA,75.0,910.0,East Midlands Region,HE Qualification,Pass
1414443,AAA,17.8,1907.0,Yorkshire Region,A Level or Equivalent,Fail
1465690,AAA,80.9,3460.0,West Midlands Region,HE Qualification,Pass
1472925,AAA,62.2,939.0,East Anglian Region,Lower Than A Level,Fail
1488959,AAA,60.2,3493.0,London Region,A Level or Equivalent,Pass
1518989,AAA,72.2,4202.0,South East Region,Lower Than A Level,Pass
1618738,AAA,77.9,723.0,London Region,Lower Than A Level,Pass
1620151,AAA,22.5,998.0,South Region,HE Qualification,Fail
1626710,AAA,84.9,6025.0,North Western Region,A Level or Equivalent,Distinction
1640609,AAA,85.3,5061.0,West Midlands Region,A Level or Equivalent,Pass
1729319,AAA,77.5,2756.0,Scotland,HE Qualification,Pass
1746134,AAA,84.0,1759.0,East Anglian Region,A Level or Equivalent,Pass
1765788,AAA,67.5,7057.0,South East Region,HE Qualification,Pass
1801229,AAA,76.7,1443.0,Ireland,HE Qualification,Pass
1801641,AAA,77.8,459.0,Scotland,A Level or Equivalent,Pass
1847830,AAA,69.1,6518.0,South West Region,Lower Than A Level,Pass
1860318,AAA,62.8,5975.0,South West Region,Lower Than A Level,Pass
1889511,AAA,71.2,1754.0,Yorkshire Region,A Level or Equivalent,Pass
1889577,AAA,73.19999999999999,931.0,South Region,A Level or Equivalent,Pass
1894188,AAA,69.7,4294.0,East Midlands Region,A Level or Equivalent,Pass
1938355,AAA,71.2,1992.0,South Region,A Level or Equivalent,Pass
1942396,AAA,54.9,470.0,East Anglian Region,Lower Than A Level,Pass
1976139,AAA,50.3,1216.0,Ireland,Lower Than A Level,Pass
2011876,AAA,75.6,1401.0,East Anglian Region,A Level or Equivalent,Pass
2012966,AAA,79.1,519.0,North Western Region,Lower Than A Level,Pass
2051699,AAA,67.3,1734.0,South West Region,Lower Than A Level,Pass
2062879,AAA,62.1,2386.0,East Anglian Region,A Level or Equivalent,Fail
2080474,AAA,67.2,1146.0,South Region,A Level or Equivalent,Pass
2083877,AAA,68.1,685.0,West Midlands Region,A Level or Equivalent,Pass
2084066,AAA,41.3,1967.0,South West Region,Lower Than A Level,Fail
2104505,AAA,64.1,701.0,West Midlands Region,Lower Than A Level,Pass
2122180,AAA,82.3,4712.0,North Western Region,Lower Than A Level,Distinction
2143752,AAA,52.9,1888.0,South Region,Lower Than A Level,Pass
2146792,AAA,70.0,2385.0,North Western Region,HE Qualification,Pass
2153153,AAA,61.8,3385.0,Yorkshire Region,A Level or Equivalent,Pass
2155014,AAA,73.89999999999999,1454.0,West Midlands Region,Lower Than A Level,Pass
2164705,AAA,7.0,231.0,North Western Region,A Level or Equivalent,Fail
2171627,AAA,68.4,1346.0,Yorkshire Region,A Level or Equivalent,Pass
2182846,AAA,66.30000000000001,4214.0,London Region,A Level or Equivalent,Pass
2194100,AAA,67.30000000000001,1401.0,East Anglian Region,A Level or Equivalent,Pass
2197016,AAA,75.7,1455.0,North Western Region,HE Qualification,Pass
2208424,AAA,69.9,1080.0,Scotland,A Level or Equivalent,Pass
2229865,AAA,77.1,3236.0,West Midlands Region,A Level or Equivalent,Pass
2268379,AAA,83.60000000000001,1685.0,East Midlands Region,A Level or Equivalent,Pass
2278464,AAA,48.900000000000006,307.0,South Region,Lower Than A Level,Pass
2293923,AAA,60.5,303.0,South Region,A Level or Equivalent,Pass
2329342,AAA,58.8,565.0,East Anglian Region,Lower Than A Level,Pass
2339528,AAA,80.5,593.0,London Region,Lower Than A Level,Distinction
2342426,AAA,74.2,1814.0,Yorkshire Region,Lower Than A Level,Fail
2344901,AAA,34.5,445.0,Yorkshire Region,A Level or Equivalent,Fail
2358056,AAA,69.80000000000001,1588.0,North Region,HE Qualification,Fail
2364471,AAA,81.6,7182.0,Scotland,HE Qualification,Pass
2367155,AAA,75.7,2148.0,East Anglian Region,A Level or Equivalent,Pass
2369266,AAA,51.2,2146.0,London Region,Lower Than A Level,Pass
2376496,AAA,75.5,749.0,East Midlands Region,A Level or Equivalent,Pass
2411661,AAA,45.3,574.0,South Region,A Level or Equivalent,Fail
2412002,AAA,83.10000000000001,3344.0,South West Region,Lower Than A Level,Distinction
2412967,AAA,77.5,2458.0,South Region,A Level or Equivalent,Pass
2437837,AAA,74.9,2684.0,North Region,A Level or Equivalent,Pass
2449878,AAA,60.5,622.0,East Midlands Region,A Level or Equivalent,Pass
2456480,AAA,10.8,183.0,Scotland,Lower Than A Level,Fail
2457256,AAA,70.5,1611.0,South Region,Lower Than A Level,Pass
2458355,AAA,91.0,4187.0,London Region,Lower Than A Level,Pass
2460080,AAA,77.1,3424.0,Scotland,HE Qualification,Pass
2461190,AAA,16.2,967.0,South Region,HE Qualification,Fail
2469673,AAA,40.1,523.0,Yorkshire Region,Lower Than A Level,Fail
2479954,AAA,79.7,323.0,North Western Region,A Level or Equivalent,Pass
2481901,AAA,74.8,1949.0,Wales,Lower Than A Level,Pass
2482700,AAA,55.8,1616.0,South Region,Lower Than A Level,Pass
2486127,AAA,74.4,1690.0,East Anglian Region,HE Qualification,Pass
2498700,AAA,77.9,2864.0,North Western Region,Lower Than A Level,Pass
2516503,AAA,79.20000000000002,3070.0,South East Region,HE Qualification,Pass
2518069,AAA,76.7,1617.0,East Midlands Region,A Level or Equivalent,Pass
2521459,AAA,61.5,1078.0,London Region,Lower Than A Level,Pass
2523736,AAA,43.6,470.0,North Western Region,A Level or Equivalent,Pass
2529279,AAA,78.8,1189.0,North Western Region,HE Qualification,Pass
2532302,AAA,60.3,1216.0,East Anglian Region,A Level or Equivalent,Pass
2536991,AAA,83.4,1080.0,South Region,HE Qualification,Distinction
2550279,AAA,62.8,2809.0,North Region,HE Qualification,Pass
2551220,AAA,63.4,1327.0,South Region,Lower Than A Level,Pass
2555340,AAA,79.2,4441.0,South Region,HE Qualification,Pass
2557283,AAA,81.60000000000001,7262.0,Yorkshire Region,HE Qualification,Pass
2559575,AAA,73.1,650.0,South West Region,Lower Than A Level,Pass
2562034,AAA,65.4,248.0,East Anglian Region,A Level or Equivalent,Pass
2566163,AAA,70.9,1591.0,South Region,A Level or Equivalent,Pass
2566592,AAA,71.8,1359.0,South Region,A Level or Equivalent,Pass
2574528,AAA,77.3,988.0,Ireland,HE Qualification,Pass
2574583,AAA,71.89999999999999,1890.0,Yorkshire Region,Lower Than A Level,Pass
2578995,AAA,80.1,1326.0,West Midlands Region,A Level or Equivalent,Pass
2586560,AAA,72.8,2905.0,East Anglian Region,Lower Than A Level,Pass
2594139,AAA,73.5,1868.0,South West Region,A Level or Equivalent,Pass
2598871,AAA,74.0,2049.0,East Anglian Region,A Level or Equivalent,Pass
2599352,AAA,75.69999999999999,1160.0,Scotland,A Level or Equivalent,Pass
2600688,AAA,70.1,582.0,West Midlands Region,A Level or Equivalent,Pass
2606098,AAA,72.2,491.0,East Midlands Region,A Level or Equivalent,Pass
2613116,AAA,79.8,1181.0,London Region,Lower Than A Level,Pass
2617002,AAA,65.2,1473.0,Yorkshire Region,A Level or Equivalent,Pass
2639449,AAA,42.1,797.0,East Midlands Region,A Level or Equivalent,Pass
2639540,AAA,79.9,1964.0,North Western Region,A Level or Equivalent,Pass
2639641,AAA,66.5,2042.0,South East Region,Lower Than A Level,Pass
2641155,AAA,79.19999999999999,4109.0,East Midlands Region,Lower Than A Level,Pass
2643002,AAA,48.8,2434.0,South West Region,A Level or Equivalent,Pass
2645733,AAA,81.19999999999999,1596.0,South West Region,A Level or Equivalent,Pass
2649826,AAA,84.70000000000002,5974.0,East Anglian Region,Lower Than A Level,Distinction
2650282,AAA,84.3,641.0,London Region,A Level or Equivalent,Pass
2664024,AAA,66.2,808.0,South East Region,HE Qualification,Pass
2666246,AAA,76.2,612.0,North Western Region,A Level or Equivalent,Pass
2669816,AAA,54.0,280.0,Yorkshire Region,A Level or Equivalent,Fail
2671132,AAA,69.80000000000001,3720.0,London Region,HE Qualification,Pass
2676809,AAA,21.4,309.0,North Region,HE Qualification,Fail
2678643,AAA,69.7,2287.0,South Region,A Level or Equivalent,Pass
2685865,AAA,78.9,2815.0,East Midlands Region,Lower Than A Level,Pass
2688067,AAA,68.4,289.0,East Anglian Region,A Level or Equivalent,Pass
2689958,AAA,81.2,3929.0,East Anglian Region,A Level or Equivalent,Distinction
2691206,AAA,84.7,2297.0,West Midlands Region,A Level or Equivalent,Distinction
2691244,AAA,52.8,472.0,South Region,A Level or Equivalent,Pass
2694424,AAA,76.5,4218.0,East Anglian Region,A Level or Equivalent,Pass
2698257,AAA,69.4,758.0,East Midlands Region,Lower Than A Level,Pass
6516,AAA,63.5,2791.0,Scotland,HE Qualification,Pass
24734,AAA,47.5,499.0,South Region,Lower Than A Level,Pass
26192,AAA,86.30000000000001,2223.0,East Anglian Region,A Level or Equivalent,Distinction
28061,AAA,77.4,1590.0,Yorkshire Region,Lower Than A Level,Pass
31600,AAA,55.5,429.0,South West Region,A Level or Equivalent,Pass
46844,AAA,66.5,340.0,North Region,HE Qualification,Pass
52765,AAA,61.5,4938.0,Yorkshire Region,Lower Than A Level,Pass
55104,AAA,71.3,1480.0,West Midlands Region,A Level or Equivalent,Pass
58071,AAA,74.9,3648.0,East Anglian Region,HE Qualification,Pass
58316,AAA,72.9,1295.0,Wales,A Level or Equivalent,Pass
62487,AAA,70.6,683.0,East Midlands Region,A Level or Equivalent,Pass
63165,AAA,52.1,912.0,South East Region,A Level or Equivalent,Pass
65002,AAA,20.200000000000003,5.0,East Anglian Region,A Level or Equivalent,Fail
70011,AAA,81.30000000000001,6396.0,Scotland,HE Qualification,Pass
75255,AAA,83.0,950.0,North Western Region,A Level or Equivalent,Pass
85092,AAA,46.400000000000006,665.0,South West Region,Lower Than A Level,Pass
85144,AAA,78.80000000000001,656.0,Scotland,A Level or Equivalent,Pass
85302,AAA,71.0,2280.0,London Region,Lower Than A Level,Pass
94961,AAA,61.7,901.0,South Region,Lower Than A Level,Pass
101116,AAA,82.9,1769.0,East Anglian Region,Lower Than A Level,Pass
107489,AAA,80.5,3722.0,London Region,HE Qualification,Pass
108872,AAA,60.9,1377.0,London Region,HE Qualification,Pass
109155,AAA,67.19999999999999,3019.0,South Region,HE Qualification,Pass
117818,AAA,56.5,1695.0,London Region,A Level or Equivalent,Pass
121349,AAA,77.30000000000001,2259.0,South West Region,A Level or Equivalent,Pass
124064,AAA,87.60000000000001,2042.0,South East Region,A Level or Equivalent,Distinction
125018,AAA,64.3,2195.0,South Region,HE Qualification,Pass
130034,AAA,77.6,1831.0,East Anglian Region,A Level or Equivalent,Pass
130547,AAA,58.0,1252.0,South Region,A Level or Equivalent,Pass
130636,AAA,59.7,332.0,South East Region,A Level or Equivalent,Pass
131390,AAA,78.7,157.0,East Anglian Region,A Level or Equivalent,Pass
133816,AAA,66.0,4000.0,South Region,A Level or Equivalent,Pass
133922,AAA,77.9,574.0,North Region,Lower Than A Level,Pass
135400,AAA,48.400000000000006,323.0,South East Region,Lower Than A Level,Pass
135471,AAA,84.2,2291.0,East Anglian Region,Lower Than A Level,Distinction
139033,AAA,61.7,790.0,South East Region,A Level or Equivalent,Fail
141377,AAA,47.0,613.0,South West Region,A Level or Equivalent,Pass
141506,AAA,7.5,415.0,Scotland,A Level or Equivalent,Fail
146503,AAA,61.900000000000006,368.0,East Anglian Region,Lower Than A Level,Pass
147756,AAA,64.5,1107.0,North Region,Lower Than A Level,Pass
148993,AAA,84.0,1948.0,North Western Region,A Level or Equivalent,Pass
149741,AAA,67.19999999999999,2342.0,Scotland,A Level or Equivalent,Pass
149962,AAA,68.9,141.0,West Midlands Region,A Level or Equivalent,Pass
155984,AAA,79.0,1737.0,East Anglian Region,Lower Than A Level,Pass
164944,AAA,62.7,1300.0,East Anglian Region,A Level or Equivalent,Pass
165226,AAA,7.7,1062.0,Wales,A Level or Equivalent,Fail
167961,AAA,76.30000000000001,2129.0,South West Region,HE Qualification,Pass
174024,AAA,61.3,812.0,North Region,A Level or Equivalent,Pass
174094,AAA,76.0,4841.0,South East Region,Lower Than A Level,Pass
174745,AAA,66.10000000000001,1610.0,East Midlands Region,A Level or Equivalent,Pass
175447,AAA,70.0,3779.0,London Region,A Level or Equivalent,Pass
183057,AAA,66.4,833.0,Wales,Lower Than A Level,Pass
185350,AAA,57.5,236.0,Yorkshire Region,Lower Than A Level,Fail
188278,AAA,69.6,3063.0,Yorkshire Region,A Level or Equivalent,Pass
199636,AAA,73.8,1836.0,East Anglian Region,A Level or Equivalent,Pass
199897,AAA,69.60000000000001,2135.0,East Midlands Region,HE Qualification,Pass
200804,AAA,64.1,930.0,South Region,A Level or Equivalent,Pass
205494,AAA,64.0,1114.0,South West Region,HE Qualification,Pass
228021,AAA,82.2,4028.0,Scotland,A Level or Equivalent,Distinction
228383,AAA,70.10000000000001,2386.0,Yorkshire Region,HE Qualification,Pass
232307,AAA,64.9,702.0,South Region,Lower Than A Level,Pass
235068,AAA,59.6,2811.0,East Midlands Region,Lower Than A Level,Pass
235507,AAA,56.3,1067.0,Yorkshire Region,A Level or Equivalent,Pass
236875,AAA,46.7,201.0,West Midlands Region,A Level or Equivalent,Pass
237274,AAA,72.2,2025.0,Yorkshire Region,A Level or Equivalent,Pass
243510,AAA,42.5,549.0,South West Region,Lower Than A Level,Fail
244246,AAA,67.8,1365.0,South East Region,A Level or Equivalent,Pass
248581,AAA,85.0,2883.0,West Midlands Region,A Level or Equivalent,Distinction
252073,AAA,47.0,865.0,Yorkshire Region,A Level or Equivalent,Pass
